logTime,startlat,startlon,ACType,AC_role,ttland,hrstart,distapt,flightLevel,emitterCat,airGroundVector_groundSpeed,calculated_time
01-Jul-2024 19:00:00,37.6982116699219,-119.722575824708,A350-1000,PAX,43.9901961181641,19,234.14143739902,410,5,507.12890625,27.702002529936
11-Jul-2024 14:00:00,37.8248104266822,-119.360782876611,A350-1000,PAX,51.5405938069662,14,237.334593339588,390,5,487.5732421875,29.2060235637359
21-Jul-2024 04:00:00,32.1504649892449,-114.827924575657,B737-800,PAX,36.3110693359375,4,209.893564555282,340,3,463.18359375,27.1892485900833
05-Jul-2024 05:00:00,32.1480560302734,-114.835968017578,A321-200,PAX,38.8088377888997,5,209.630224826492,360,3,441.2109375,28.50748342926
26-Jul-2024 13:00:00,37.7473296225071,-119.63258150965,A350-1000,PAX,46.4440583292643,13,235.804261576591,390,5,465.8203125,30.3727753276012
01-Jul-2024 08:00:00,37.8128930367529,-119.398040771484,A330-200,VIP,45.7927533976237,8,236.987141667185,360,5,506.25,28.0873649383331
25-Jul-2024 20:00:00,35.7181548513472,-114.830932673067,A350-1000,PAX,37.1514576253255,20,206.125065193374,380,5,477.24609375,25.9143114497256
04-Jul-2024 13:00:00,37.7491630800068,-119.611438326538,A350-1000,PAX,41.9805787434896,13,235.650594972349,390,5,502.0751953125,28.1611914516919
14-Jul-2024 20:00:00,37.730758599937,-119.634685199708,A350-1000,PAX,43.7392493693034,20,234.881311375589,410,5,472.8515625,29.8040226578194
05-Jul-2024 19:00:00,35.7007714547217,-114.818115234375,A350-1000,PAX,33.0770350952148,19,206.159435095616,400,5,484.27734375,25.5423183953915
09-Jul-2024 20:00:00,35.6924386695027,-114.827991295606,A350-1000,PAX,36.1031649251302,20,205.49324042126,400,5,473.73046875,26.026602126329
13-Jul-2024 14:00:00,35.7027281261981,-114.813537709415,A350-1000,PAX,36.6314738647461,14,206.411690897613,400,5,475.048828125,26.0703757606112
15-Jul-2024 20:00:00,35.5011554248631,-114.727127496153,A350-1000,PAX,34.5409666951497,20,204.493906668853,400,5,465.6005859375,26.3522743972195
25-Jul-2024 13:00:00,37.9319914989173,-118.297450449318,A350-1000,PAX,53.5146842651367,13,239.18281283979,390,5,465.380859375,30.8370412776764
05-Jul-2024 05:00:00,32.3074493184686,-114.755877759308,B737-9,PAX,37.3759762084961,5,208.31371912455,360,3,434.3994140625,28.7726519485468
11-Jul-2024 20:00:00,35.7026335783303,-114.816186893731,A350-1000,PAX,35.3371900065104,20,206.296506371816,400,5,482.080078125,25.6757973290476
23-Jul-2024 13:00:00,35.700576659292,-114.816741943359,A350-1000,PAX,33.3172609049479,13,206.211917698845,400,5,493.505859375,25.0710601037242
26-Jul-2024 20:00:00,37.7429249323905,-119.633709546179,A350-1000,PAX,44.8691625528971,20,235.563496840163,390,5,453.955078125,31.1348203632561
09-Jul-2024 04:00:00,32.0921349897981,-114.870524592698,B737-800,PAX,44.5332514038086,4,209.941107499301,380,3,451.0986328125,27.9239739021639
01-Jul-2024 13:00:00,37.797670494765,-119.369858466089,A350-1000,PAX,42.4785066040039,13,235.834707164672,400,5,510.4248046875,27.7221684760079
03-Jul-2024 13:00:00,37.738642282784,-119.634903632104,A350-1000,PAX,46.0966871907552,13,235.330675054023,390,5,508.88671875,27.7465297933586
17-Jul-2024 13:00:00,37.93253229931,-118.447245787829,A350-1000,PAX,52.5105023152669,13,239.173242730779,400,5,457.03125,31.3991539174767
30-Jul-2024 13:00:00,37.7491630800068,-119.611378647387,A350-1000,PAX,42.2406764811198,13,235.649867864805,390,5,482.958984375,29.2757615642779
12-Jul-2024 22:00:00,32.152513358742,-114.827363993973,B737-9,PAX,38.2317130249023,22,209.862425832013,360,3,451.9775390625,27.8592285272379
18-Jul-2024 23:00:00,36.7871609888971,-121.185685973614,Not Found,Not Found,41.1275328857422,23,218.403789201307,302.25,2,404.0771484375,32.4300134336977
04-Jul-2024 20:00:00,37.8482207469642,-119.213640075177,A350-1000,PAX,46.0248944620768,20,237.421006960662,410,5,489.111328125,29.1247812072738
16-Jul-2024 20:00:00,35.6990025378764,-114.818524438888,A350-1000,PAX,36.5457704060872,20,206.089596232534,400,5,460.107421875,26.8749756818993
09-Jul-2024 18:00:00,32.1194147318602,-114.858529251069,B737-800,PAX,40.6781779296875,18,209.567022354311,359.75,3,444.7265625,28.2736009078807
12-Jul-2024 14:00:00,37.8651246987283,-119.157834369689,A350-1000,PAX,49.6765079508464,14,237.974924670596,390,5,484.0576171875,29.4975122242627
20-Jul-2024 20:00:00,35.8271142281592,-114.888766799122,A350-1000,PAX,34.6309405761719,20,207.082576264425,400,5,487.1337890625,25.5062466510024
23-Jul-2024 15:00:00,35.694305319339,-114.825611170381,Not Found,Not Found,35.3174946248372,15,205.665932731517,430,3,476.5869140625,25.8923516357245
02-Jul-2024 19:00:00,37.7202300913632,-119.692655615509,A350-1000,PAX,41.1666759073893,19,235.003770157593,390,5,511.083984375,27.5888633581399
17-Jul-2024 20:00:00,35.6836867891252,-114.83967885375,A350-1000,PAX,36.1282213745117,20,204.737832741348,400,5,482.080078125,25.4818037954591
27-Jul-2024 13:00:00,37.7493027225137,-119.622782897204,A350-1000,PAX,46.8107822550456,13,235.797505931115,390,5,469.9951171875,30.1021219976265
29-Jul-2024 13:00:00,37.8256018459797,-119.359290227294,A350-1000,PAX,46.6477236043294,13,237.36675210517,390,5,450.439453125,31.6180233048058
03-Jul-2024 05:00:00,32.3876021057367,-114.726637322456,B737-9,PAX,36.4758120605469,5,207.342498245635,360,3,460.546875,27.0125595678791
